track_genre,valence,energy,danceability,tempo,acousticness,instrumentalness,liveness,speechiness,cluster,cluster_name
acoustic,0.424023,0.4353681,0.549593,119.010624,0.56681639833,0.03833583693,0.1532444,0.043247,0,acoustic
afrobeat,0.6986192,0.702812,0.6695800000000001,119.213337,0.2708599523,0.25348287056,0.184596,0.0865789,4,afrobeat
alt-rock,0.5182603,0.754173,0.5344930000000001,124.634404,0.12216223569,0.0540965700699999,0.2102486,0.0550705,1,alt-rock
alternative,0.4955701,0.72003,0.5599270000000001,122.232394,0.14782023359,0.0381586047,0.2013763,0.0701007,4,afrobeat
ambient,0.1674981999999999,0.2371617899999999,0.3678668,111.113129,0.7767899403999999,0.6762211611,0.1292830999999999,0.0415619999999999,3,ambient
anime,0.4344631,0.6741083,0.5374514,123.529616,0.26773437274,0.26297120969,0.197175,0.087323,0,acoustic
black-metal,0.1917364,0.8748973,0.2964109,128.601515,0.02705552076,0.44084682085,0.2414203,0.0871562,1,alt-rock
bluegrass,0.6350927000000001,0.5302796,0.5346920000000001,126.578805,0.556587756,0.13680780283,0.2276738,0.0386903,0,acoustic
blues,0.6040318,0.5818775,0.568567,116.568352,0.3981138453,0.03409199347,0.1918301,0.0639181,0,acoustic
brazil,0.4697896,0.620721,0.562948,121.935644,0.3323864701,0.01307972784,0.297962,0.0959996,0,acoustic
breakbeat,0.4747443,0.853275,0.6461939999999999,133.03021299999995,0.03141016618,0.39585736039,0.2203164,0.0857084,5,breakbeat
british,0.4397141,0.50712697,0.5012758,118.828617,0.42794293626,0.19367906512,0.1742984,0.05001,0,acoustic
cantopop,0.3935679,0.4616962,0.547909,124.277335,0.5362672456,0.01261885172,0.1919454,0.0390832,0,acoustic
chicago-house,0.5865412,0.7332150000000001,0.7661760000000001,123.92268,0.03531044957,0.48280494636,0.137569,0.0743887,5,breakbeat
children,0.6942874,0.4946451799999999,0.716467,123.341201,0.4986771484,0.06055706371,0.1813519,0.0927109,4,afrobeat
chill,0.4037695,0.4267228999999999,0.664346,115.479376,0.5340969548000001,0.17802204236,0.1682,0.1021671,0,acoustic
classical,0.38105,0.189827326,0.3819228,107.949793,0.9200489485,0.6192076276599999,0.1668376,0.0508306,3,ambient
